date,S_t,U_t,P_t,tone_strength,Vol_t,DeltaPrice_t,return_pct,sigma_wide,sigma_pre,CredGap_t,t5yifr,regime,VIX_t,has_pressconf,S_x_CredGap,S_x_VIX,U_x_CredGap
2016-12-14,0.2594585397133702,0.6831160117272963,-0.5557708376152909,0.5557708376152909,0.0005717380634228,-0.59375,-0.4779874213836478,0.0004771335053371,0.0001429350627655,0.040000000000000036,2.04,anchored,12.72,True,0.010378341588534817,3.300312625154069,0.027324640469091877
2017-03-15,0.3628599784957866,0.6796412284551796,-1.1474549458221293,1.1474549458221293,0.0007726209362424,0.5625,0.4572589864092468,0.0006373395120664,9.352608834527928e-05,0.10000000000000009,2.1,above_target,12.3,True,0.03628599784957869,4.463177735498175,0.06796412284551802
2017-06-14,0.2127889867283796,0.6706054475767179,-0.45656389988111623,0.45656389988111623,0.0002798993412996,-0.21875,-0.1720324404030474,0.0002629690953999,0.0001129022686303,0.16999999999999993,1.83,below_target,10.42,True,0.036174127743824516,2.2172612417097155,0.114002926088042
2017-09-20,0.0743383057905655,0.681522093170012,0.5238623558840867,0.5238623558840867,0.0002509717221597,-0.46875,-0.3718393653941497,0.0002215710995966,0.0001000292401869,0.0,2.0,anchored,10.18,True,0.0,0.7567639529479567,0.0
2017-12-13,0.2083205957075252,0.6313770785870706,-0.45216094718581307,0.45216094718581307,0.0001888253702511,0.125,0.1005783253708825,0.0001730605790538,9.649262950976792e-05,0.0,2.0,anchored,9.92,True,0.0,2.06654030941865,0.0
2018-03-21,0.2193474560318624,0.6997839345907172,-0.010950839158841414,0.010950839158841414,0.0003235756163368,-0.171875,-0.1432291666666666,0.0002803288384058,0.0001091442281563,0.10999999999999988,2.11,above_target,18.2,True,0.024128220163504837,3.9921236997798957,0.0769762328049788
2018-06-13,0.3506693843907366,0.6781689065915706,-1.0754358099325723,1.0754358099325723,0.000322343409504,-0.328125,-0.2747612194164595,0.0002719474503855,8.82177666697854e-05,0.18999999999999995,2.19,above_target,12.34,True,0.06662718303423994,4.327260203381689,0.12885209225239838
2018-09-26,0.2870033818551085,0.6913644865853712,-0.7289844196516061,0.7289844196516061,0.0001901849094188,-0.046875,-0.0395152792413066,0.0001745808508165,9.0949699632143e-05,0.27,2.27,above_target,12.42,True,0.0774909131008793,3.5645820026404476,0.18666841137805024
2018-12-19,0.2828558742661368,0.6531357751653084,0.8562403177187204,0.8562403177187204,0.0003220488150048,0.203125,0.1680672268907563,0.0002948965456331,0.0001420139553085,0.040000000000000036,2.04,anchored,25.58,True,0.011314234970645482,7.235453263727779,0.02612543100661236
2019-01-30,0.1509041897952556,0.6703404561757405,0.002396396344476623,0.002396396344476623,0.0002164822102665,0.359375,0.2954779033915725,0.0002014307374859,0.0001060863151622,0.06000000000000005,1.94,anchored,19.13,True,0.009054251387715345,2.8867971507832397,0.040220427370544466
2019-03-20,-0.2847372833639383,0.7026586150668823,1.822550132753457,1.822550132753457,0.0003253044159012,0.484375,0.3940010167768175,0.0002742638239131,8.444803653871078e-05,0.04999999999999982,2.05,anchored,13.56,True,-0.014236864168196863,-3.861037562415003,0.03513293075334399
2019-05-01,-0.0990618656982075,0.7010589537676424,1.1342606756136495,1.1342606756136495,0.0004616082405923,-0.265625,-0.2144839767852636,0.0003891969558026,9.15329276636074e-05,0.04999999999999982,2.05,anchored,13.12,True,-0.004953093284910358,-1.2996916779604823,0.03505294768838199
2019-06-19,-0.0417961908335035,0.6734943498698899,0.5341839316326207,0.5341839316326207,0.0003134573820731,0.515625,0.4052062868369351,0.0002684683136339,9.61558210071057e-05,0.20999999999999996,1.79,below_target,15.15,True,-0.008777200075035733,-0.633212291127578,0.14143381347267686
2019-07-31,-0.0452861163454751,0.6396862773214325,0.7482660814380041,0.7482660814380041,0.0003868522253862,-0.1875,-0.1469147894221351,0.0004731508251273,9.348451423760024e-05,0.020000000000000018,1.98,anchored,13.94,True,-0.0009057223269095028,-0.6312884618559229,0.01279372554642866
2019-09-18,-0.0934474228627302,0.6636377491940005,0.8299049198338228,0.8299049198338228,0.0003005311107465,-0.515625,-0.3973031543462557,0.0002988949833072,0.0001491011284313,0.1399999999999999,1.86,below_target,14.44,True,-0.013082639200782217,-1.349380786137824,0.09290928488716
2019-10-30,-0.1591843633319843,0.6295060028069303,1.3895899581101285,1.3895899581101285,0.0002573306234442,-0.171875,-0.1327220077220077,0.0002398740373718,0.0001009574992885,0.29000000000000004,1.71,below_target,13.2,True,-0.04616346536627545,-2.1012335959821926,0.1825567408140098
2019-12-11,-0.070739436132664,0.7145070832242103,0.514674632477319,0.514674632477319,0.000183798806032,0.03125,0.0242072137496974,0.0001880468594266,9.686897277754077e-05,0.16999999999999993,1.83,below_target,15.68,True,-0.012025704142552874,-1.1091943585601713,0.1214662041481157
2020-01-29,-0.0664903052489866,0.6197643760935618,0.3922263754214338,0.3922263754214338,0.0001377675710516,0.140625,0.1074755194650107,0.0001340191330793,7.989754373220439e-05,0.29000000000000004,1.71,below_target,16.28,True,-0.019282188522206114,-1.082462169453502,0.17973166906713295
2020-03-02,-0.0550016681663692,0.5938574159880737,-3.853772330734162,3.853772330734162,0.0008138519479767,0.4375,0.32441200324412,0.0006565802960122,0.0002125602610828,0.51,1.49,below_target,40.11,True,-0.02805085076484829,-2.2061169101530687,0.3028672821539176
2020-03-15,-0.0089337729679589,0.6245788663860744,-5.402358749194941,5.402358749194941,0.0007163408931586,0.578125,0.421796625626995,0.0006772705334328,,0.73,1.27,below_target,57.83,True,-0.006521654266609997,-0.5166400907370632,0.4559425724618343
2020-04-29,-0.0914966764394193,0.666590146788142,-3.180334931169678,3.180334931169678,0.0001978670428021,-0.125,-0.0898876404494382,0.0001768525949339,0.0001109666100405,0.48,1.52,below_target,33.57,True,-0.043918404690921266,-3.071543428071306,0.31996327045830814
2020-06-10,0.0547037927234279,0.6667401183443437,-0.7462608978533758,0.7462608978533758,0.0002357637727133,0.265625,0.1922207146087743,0.0001979676181448,0.0001001984567063,0.45999999999999996,1.54,below_target,27.57,True,0.025163744652776834,1.5081835653849072,0.30670045443839805
