date,is_pressconf,Vol_narrow,Vol_ext,Vol_norm,sigma_b1,sigma_b2,sigma_b3,sigma_b4,DeltaPrice_daily
2018-11-08,False,,,,,,,,-0.046875
2018-12-19,True,0.00037196178972259274,0.00030528861275945295,2.2677265364886594,0.0002011236669454164,0.0005029472163600308,0.00016935813313152933,0.00028143052491049815,0.28125
2019-01-30,True,0.0002732430252427708,0.0001874794434999279,2.040623335210681,0.00011076555170480548,0.00040865189887169035,0.00013518535126762703,0.00015296039087507552,0.375
2019-03-20,True,0.000391109683920834,0.0002378535479832514,3.852125274127377,8.427527000248745e-05,0.00037067805122054424,0.00016279903823783855,0.0002359182239543323,0.671875
2019-05-01,True,0.0004438269008540755,0.0003306321581367293,5.043083973985363,8.690112853036186e-05,0.00036944212689621087,0.00014901562200420084,0.0005638708332871251,-0.0625
2019-06-19,True,0.0003176502416354028,0.00023649405075929687,3.259889820398249,0.00012904058128506338,0.00040653537157040815,0.00019624595204933564,0.00039802105813779187,0.375
2019-07-31,True,0.00038914209408142216,0.00038376179906606813,4.138142328075604,0.00010605239109769485,0.00028144536744132516,0.0001851193211250085,0.0005207276221935139,0.0625
2019-09-18,True,0.0002966618024807711,0.00026829325882343893,2.015619290802169,0.00010820001425436272,0.00033881527938240655,0.0002627865741456603,0.0003547582749680652,0.0
2019-10-30,True,0.0002766615179868136,0.00021773600606512754,2.548900530002652,0.0001145325222193793,0.0001737831211346281,0.00016397765102143294,0.0003213392367831544,0.40625
2019-12-11,True,0.00019770060578849845,0.00017315634904102158,1.8973960470716797,7.65452989779207e-05,0.00022973956274559152,0.0001513335517059244,0.00021563506353007973,0.34375
2020-01-29,True,0.00012943075366858805,0.0001402246173696224,1.7243029587162375,0.0,0.0001247199240674682,0.0001429076746546944,0.00020008702560715043,0.5
2020-03-02,True,0.0010517501004746574,0.0006440611379396863,3.828805741161914,0.00030570806614136313,,0.0006311054756157761,0.0003683409106618412,-0.578125
2020-03-15,True,0.0008113653207621318,0.0005224030517887456,,,0.0010787422879024499,0.0004375397131186778,0.0004095099741158854,2.609375
2020-04-29,True,0.00019777050822911659,0.00015764211679199127,1.7831223530202784,0.0001450751184650136,0.0002534800452916424,0.0001298720555378985,0.00022415891669282304,-0.015625
2020-06-10,True,0.00028788117203653224,0.00018652906080728822,2.352968104133248,0.00013438737748232377,0.0003293495529926417,0.00016937270018001476,0.00015789456180977354,0.953125
